SYMBOL,SYMBOL P/E,ADJUSTED P/E
ZEEMEDIA,,230.99
VEEDOL,14.96,14.96
LUMAXTECH,37.98,36.81
SARLAPOLY,12.66,12.66
PTL,12.28,12.28
WANBURY,14.28,14.28
AUTOIND,20.66,35.21
GANDHITUBE,14.74,14.56
PITTIENG,25.27,25.27
UNOMINDA,64.68,63.37
IZMO,28.76,28.76
HUBTOWN,20.60,20.60
TIIL,20.07,20.07
ORIENTBELL,60.63,60.63
PGIL,28.27,28.49
REDINGTON,9.18,12.56
FSL,24.38,21.85
PFC,4.40,4.39
SMSPHARMA,47.12,47.12
INDIANB,11.27,10.78
ORIENTALTL,8.33,7.90
PAGEIND,54.39,52.58
LAOPALA,19.50,19.22
JKTYRE,17.77,14.52
ASTRAL,87.69,85.76
NAHARSPING,41.87,41.87
NAHARPOLY,10.58,10.58
NCLIND,13.43,12.08
BALAMINES,25.30,25.30
BANSWRAS,17.04,17.04
ICRA,28.40,27.75
PHOENIXLTD,44.97,44.26
NDLVENTURE,464.21,464.21
ZENITHSTL,15.57,15.57
BFUTILITIE,4.86,4.84
FORTIS,68.57,65.20
SRHHYPOLTD,8.92,8.18
WEBELSOLAR,16.30,16.07
TGBHOTELS,14.42,14.42
HILTON,17.42,17.42
INSECTICID,14.18,14.18
KMSUGAR,4.66,4.66
NAVINFLUOR,58.40,56.58
TIMETECHNO,20.82,20.82
NAGREEKEXP,31.24,31.24
NELCAST,23.98,23.98
V2RETAIL,47.41,55.49
DLF,52.84,56.19
TARMAT,35.63,35.63
SIGMAADV,22.80,21.88
ADSL,18.35,18.07
ALPA,12.34,12.34
CENTRALBK,6.76,6.84
ASIANTILES,35.75,35.75
KPRMILL,36.76,36.76
CIEINDIA,22.45,22.45
MOTILALOFS,23.55,23.55
INDOWIND,64.33,201.79
NAGREEKCAP,1.83,1.83
KSCL,15.85,15.85
CENTUM,,105.56
POWERGRID,18.51,18.51
CCCL,5.99,
SUPREMEINF,0.13,
MAANALU,56.31,56.31
DELTACORP,6.54,22.16
BAJAJELEC,97.24,135.13
CERA,31.99,30.22
RELIGARE,57.14,57.14
BVCL,4040.44,4040.44
ADANIPORTS,28.36,28.03
EDELWEISS,15.73,13.71
RGL,13.99,12.61
KOLTEPATIL,90.80,90.80
KAUSHALYA,24.04,24.04
COLPAL,39.90,39.72
JYOTHYLAB,24.15,23.88
KALYANIFRG,39.09,39.09
HITECHCORP,33.84,24.42
ECLERX,20.92,20.92
TARIL,33.72,34.00
BRIGADE,23.05,22.64
MANAKSIA,7.22,7.03
PATINTLOG,9.20,9.20
ARIES,11.82,11.82
AMBIKCO,13.00,13.00
KAVDEFENCE,48.29,48.29
CEATLTD,27.34,23.76
