Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
16-APR-2026,SPARC,152.49,150.78,0.0113,0.0324,0.0323,0.6171
16-APR-2026,SPCENET,4.55,4.34,0.0473,0.0377,0.0377,0.7203
16-APR-2026,SPECIALITY,104.64,103.45,0.0114,0.0269,0.0268,0.5120
16-APR-2026,SPECTRUM,1195.10,1204.00,-0.0074,0.0263,0.0263,0.5025
16-APR-2026,SPENCERS,34.84,34.41,0.0124,0.0322,0.0321,0.6133
16-APR-2026,SPIC,72.02,70.84,0.0165,0.0278,0.0277,0.5292
16-APR-2026,SPLIL,31.41,31.10,0.0099,0.0288,0.0287,0.5483
16-APR-2026,SPLPETRO,771.00,766.65,0.0057,0.0263,0.0263,0.5025
16-APR-2026,SPMLINFRA,196.38,196.45,-0.0004,0.0353,0.0352,0.6725
16-APR-2026,SPORTKING,138.57,142.89,-0.0307,0.0301,0.0301,0.5751
16-APR-2026,SRD,44.90,44.91,-0.0002,0.0302,0.0301,0.5751
16-APR-2026,SREEL,178.86,183.62,-0.0263,0.0184,0.0184,0.3515
16-APR-2026,SRF,2504.00,2500.40,0.0014,0.0193,0.0192,0.3668
16-APR-2026,SRGHFL,282.63,267.83,0.0538,0.0239,0.0242,0.4623
16-APR-2026,SRHHYPOLTD,487.80,475.40,0.0257,0.0264,0.0264,0.5044
16-APR-2026,SRM,518.40,516.25,0.0042,0.0307,0.0307,0.5865
16-APR-2026,SRTL,48.65,47.10,0.0324,0.0162,0.0163,0.3114
16-APR-2026,SSDL,63.53,63.83,-0.0047,0.0240,0.0239,0.4566
16-APR-2026,SSWL,213.40,214.81,-0.0066,0.0238,0.0238,0.4547
16-APR-2026,STALLION,147.03,142.63,0.0304,0.0411,0.0410,0.7833
16-APR-2026,STANLEY,142.28,139.88,0.0170,0.0237,0.0236,0.4509
16-APR-2026,STAR,993.90,1001.65,-0.0078,0.0264,0.0264,0.5044
16-APR-2026,STARCEMENT,221.94,219.83,0.0096,0.0189,0.0189,0.3611
16-APR-2026,STARHEALTH,496.65,479.00,0.0362,0.0160,0.0161,0.3076
16-APR-2026,STARPAPER,148.30,148.02,0.0019,0.0183,0.0183,0.3496
16-APR-2026,STARTECK,246.65,248.87,-0.0090,0.0254,0.0254,0.4853
16-APR-2026,STCINDIA,117.24,115.37,0.0161,0.0321,0.0320,0.6114
16-APR-2026,STCL,9.25,9.25,0.0000,0.0000,0.0000,0.0000
16-APR-2026,STEADFAST,14.90,14.90,0.0000,0.0000,0.0000,0.0000
16-APR-2026,STEELCAS,291.21,283.87,0.0255,0.0294,0.0294,0.5617
16-APR-2026,STEELCITY,83.89,82.97,0.0110,0.0222,0.0222,0.4241
16-APR-2026,STEELXIND,8.84,8.90,-0.0068,0.0271,0.0270,0.5158
16-APR-2026,STEL,479.30,477.35,0.0041,0.0309,0.0308,0.5884
16-APR-2026,STERTOOLS,242.42,243.12,-0.0029,0.0321,0.0320,0.6114
16-APR-2026,STLNETWORK,25.10,22.25,0.1205,0.0238,0.0252,0.4814
16-APR-2026,STLTECH,256.30,254.91,0.0054,0.0389,0.0388,0.7413
16-APR-2026,STOVEKRAFT,561.85,580.65,-0.0329,0.0296,0.0296,0.5655
16-APR-2026,STUDDS,478.95,471.45,0.0158,0.0110,0.0110,0.2102
16-APR-2026,STYL,238.77,236.67,0.0088,0.0191,0.0190,0.3630
16-APR-2026,STYLAMIND,2243.30,2250.60,-0.0032,0.0220,0.0219,0.4184
16-APR-2026,STYLEBAAZA,296.75,302.40,-0.0189,0.0336,0.0335,0.6400
16-APR-2026,STYRENIX,2170.60,2211.30,-0.0186,0.0209,0.0209,0.3993
16-APR-2026,SUBEXLTD,9.57,9.44,0.0137,0.0310,0.0309,0.5903
16-APR-2026,SUBROS,778.30,774.30,0.0052,0.0296,0.0295,0.5636
16-APR-2026,SUDARCOLOR,353.00,341.95,0.0318,0.0241,0.0241,0.4604
16-APR-2026,SUDARSCHEM,878.90,815.45,0.0749,0.0240,0.0245,0.4681
16-APR-2026,SUDEEPPHRM,631.10,628.65,0.0039,0.0174,0.0173,0.3305
16-APR-2026,SUKHJITS,179.78,178.19,0.0089,0.0283,0.0282,0.5388
16-APR-2026,SULA,174.63,171.40,0.0187,0.0221,0.0221,0.4222
16-APR-2026,SUMEETINDS,30.13,30.05,0.0027,0.0295,0.0294,0.5617
16-APR-2026,SUMICHEM,423.45,429.00,-0.0130,0.0200,0.0200,0.3821
16-APR-2026,SUMIT,51.06,52.49,-0.0276,0.0379,0.0379,0.7241
16-APR-2026,SUMMITSEC,1703.80,1691.00,0.0075,0.0274,0.0274,0.5235
16-APR-2026,SUNAYANA,34.00,34.00,0.0000,0.0000,0.0000,0.0000
16-APR-2026,SUNCLAY,1410.10,1341.30,0.0500,0.0258,0.0260,0.4967
16-APR-2026,SUNDARAM,1.43,1.45,-0.0139,0.0282,0.0281,0.5368
16-APR-2026,SUNDARMFIN,4993.40,4915.00,0.0158,0.0224,0.0224,0.4280
16-APR-2026,SUNDRMBRAK,614.30,626.25,-0.0193,0.0305,0.0304,0.5808
16-APR-2026,SUNDRMFAST,813.70,807.35,0.0078,0.0162,0.0162,0.3095
16-APR-2026,SUNDROP,636.75,642.10,-0.0084,0.0217,0.0216,0.4127
16-APR-2026,SUNFLAG,270.92,266.29,0.0172,0.0272,0.0271,0.5177
